,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam
DENZ35,0.17,0.567,0.986,0.433,0.981,0.433,0.36351210364663455,0.981,0.008330992620051497,0.6,0.727,0.999,0.273,0.984,0.273,0.563837352959244,0.984,0.007004901568658489,0.65,0.741,0.998,0.259,0.981,0.259,0.5867002359187482,0.981,0.008330992620051497
QOW5,-1.73,0.0418,0.897,0.958,0.985,0.0418,1.3788237182249647,0.897,0.047207556955907906,0.61,0.728,0.999,0.272,0.984,0.272,0.5654310959658012,0.984,0.007004901568658489,1.35,0.912,1.0,0.0879,0.931,0.0879,1.056011124926228,0.931,0.031050319018657353
WVGKO48,1.22,0.89,0.999,0.11,0.915,0.11,0.958607314841775,0.915,0.038578905933551705,0.61,0.728,0.999,0.272,0.984,0.272,0.5654310959658012,0.984,0.007004901568658489,0.63,0.735,0.998,0.265,0.981,0.265,0.5767541260631921,0.981,0.008330992620051497
NGR3,-1.21,0.113,0.897,0.887,0.981,0.113,0.9469215565165803,0.897,0.047207556955907906,0.61,0.728,0.999,0.272,0.984,0.272,0.5654310959658012,0.984,0.007004901568658489,1.79,0.963,1.0,0.0366,0.831,0.0366,1.4365189146055892,0.831,0.08039897621588903
VYO2,-0.17,0.432,0.952,0.568,0.981,0.432,0.3645162531850879,0.952,0.021363051615525673,0.61,0.729,0.999,0.271,0.984,0.271,0.5670307091255943,0.984,0.007004901568658489,0.37,0.643,0.981,0.357,0.984,0.357,0.4473317838878068,0.981,0.008330992620051497
WWN9,-0.89,0.186,0.897,0.814,0.981,0.186,0.7304870557820837,0.897,0.047207556955907906,0.61,0.73,0.999,0.27,0.984,0.27,0.5686362358410126,0.984,0.007004901568658489,0.96,0.831,0.998,0.169,0.953,0.169,0.7721132953863264,0.953,0.02090709936167361
RCH51,-1.22,0.112,0.897,0.888,0.981,0.112,0.9507819773298184,0.897,0.047207556955907906,0.61,0.73,0.999,0.27,0.984,0.27,0.5686362358410126,0.984,0.007004901568658489,-0.7,0.242,0.925,0.758,0.984,0.242,0.6161846340195687,0.925,0.03385826726096737
OHZE4,-1.69,0.0458,0.897,0.954,0.985,0.0458,1.3391345219961308,0.897,0.047207556955907906,0.63,0.735,0.999,0.265,0.973,0.265,0.5767541260631921,0.973,0.0118871597316481,-0.89,0.187,0.925,0.813,0.984,0.187,0.7281583934635011,0.925,0.03385826726096737
PHOS82,-1.85,0.0324,0.897,0.968,0.987,0.0324,1.489454989793388,0.897,0.047207556955907906,0.63,0.735,0.999,0.265,0.972,0.265,0.5767541260631921,0.972,0.012333735073725434,-0.51,0.304,0.93,0.696,0.984,0.304,0.5171264163912462,0.93,0.03151705144606486
VHQ3,-0.15,0.442,0.952,0.558,0.981,0.442,0.3545777306509081,0.952,0.021363051615525673,0.63,0.735,0.999,0.265,0.972,0.265,0.5767541260631921,0.972,0.012333735073725434,0.14,0.554,0.97,0.446,0.984,0.446,0.35066514128785814,0.97,0.01322826573375516
WCJIX837,0.5,0.691,0.988,0.309,0.981,0.309,0.5100415205751654,0.981,0.008330992620051497,0.63,0.736,0.999,0.264,0.972,0.264,0.5783960731301689,0.972,0.012333735073725434,-0.23,0.409,0.957,0.591,0.984,0.409,0.38827669199265824,0.957,0.01908806222315645
DIEH916,0.8,0.788,0.993,0.212,0.981,0.212,0.6736641390712486,0.981,0.008330992620051497,0.63,0.736,0.999,0.264,0.972,0.264,0.5783960731301689,0.972,0.012333735073725434,0.76,0.775,0.998,0.225,0.979,0.225,0.6478174818886375,0.979,0.009217308196862183
WEJ06,0.82,0.793,0.995,0.207,0.981,0.207,0.6840296545430823,0.981,0.008330992620051497,0.63,0.736,0.999,0.264,0.972,0.264,0.5783960731301689,0.972,0.012333735073725434,0.16,0.563,0.972,0.437,0.984,0.437,0.3595185630295782,0.972,0.012333735073725434
BXDY837,2.84,0.998,0.999,0.00228,0.599,0.00228,2.642065152999546,0.599,0.22257317761068865,0.63,0.736,0.999,0.264,0.972,0.264,0.5783960731301689,0.972,0.012333735073725434,-0.99,0.161,0.925,0.839,0.984,0.161,0.7931741239681502,0.925,0.03385826726096737
GEOJH186,1.0,0.842,0.999,0.158,0.953,0.158,0.8013429130455774,0.953,0.02090709936167361,0.63,0.736,0.999,0.264,0.972,0.264,0.5783960731301689,0.972,0.012333735073725434,0.89,0.813,0.998,0.187,0.953,0.187,0.7281583934635011,0.953,0.02090709936167361
PBK1,-0.48,0.317,0.909,0.683,0.981,0.317,0.4989407377822485,0.909,0.041436116778032536,0.63,0.737,0.999,0.263,0.972,0.263,0.5800442515102421,0.972,0.012333735073725434,-0.15,0.439,0.959,0.561,0.984,0.439,0.35753547975787864,0.959,0.018181392829336417
HTI57,0.01,0.502,0.97,0.498,0.981,0.498,0.30277065724028246,0.97,0.01322826573375516,0.64,0.738,0.999,0.262,0.972,0.262,0.5816987086802545,0.972,0.012333735073725434,1.37,0.915,1.0,0.0847,0.931,0.0847,1.072116589669293,0.931,0.031050319018657353
LCKS125,-0.42,0.337,0.909,0.663,0.981,0.337,0.47237009912866135,0.909,0.041436116778032536,0.64,0.739,0.999,0.261,0.972,0.261,0.583359492661719,0.972,0.012333735073725434,-2.67,0.00383,0.925,0.996,0.997,0.00383,2.416801226031377,0.925,0.03385826726096737
SMGSR094,-0.19,0.426,0.952,0.574,0.981,0.426,0.37059040089728107,0.952,0.021363051615525673,0.64,0.741,0.999,0.259,0.97,0.259,0.5867002359187482,0.97,0.01322826573375516,0.07,0.528,0.97,0.472,0.984,0.472,0.32605800136591223,0.97,0.01322826573375516
PVBHP62,-0.17,0.431,0.952,0.569,0.981,0.431,0.3655227298392684,0.952,0.021363051615525673,0.65,0.741,0.999,0.259,0.97,0.259,0.5867002359187482,0.97,0.01322826573375516,-1.41,0.0787,0.925,0.921,0.986,0.0787,1.1040252676409354,0.925,0.03385826726096737
VHPTM39,2.26,0.988,0.999,0.0119,0.638,0.0119,1.9244530386074692,0.638,0.19517932127883766,0.65,0.741,0.999,0.259,0.97,0.259,0.5867002359187482,0.97,0.01322826573375516,3.06,0.999,1.0,0.00111,0.35,0.00111,2.9546770212133424,0.35,0.4559319556497244
FGE27,1.05,0.853,0.999,0.147,0.953,0.147,0.8326826652518239,0.953,0.02090709936167361,0.65,0.742,0.999,0.258,0.97,0.258,0.5883802940367698,0.97,0.01322826573375516,0.55,0.708,0.986,0.292,0.984,0.292,0.5346171485515817,0.984,0.007004901568658489
MSBNZ98,0.81,0.791,0.994,0.209,0.981,0.209,0.679853713888946,0.981,0.008330992620051497,0.65,0.742,0.999,0.258,0.97,0.258,0.5883802940367698,0.97,0.01322826573375516,-1.56,0.0597,0.925,0.94,0.986,0.0597,1.2240256688706308,0.925,0.03385826726096737
FPD021,1.38,0.916,0.999,0.0836,0.915,0.0836,1.0777937225609837,0.915,0.038578905933551705,0.65,0.742,0.999,0.258,0.97,0.258,0.5883802940367698,0.97,0.01322826573375516,0.71,0.761,0.998,0.239,0.979,0.239,0.6216020990518624,0.979,0.009217308196862183
WDYW78,0.8,0.787,0.993,0.213,0.981,0.213,0.6716203965612623,0.981,0.008330992620051497,0.66,0.745,0.999,0.255,0.965,0.255,0.5934598195660448,0.965,0.015472686656207449,1.39,0.918,1.0,0.0817,0.931,0.0817,1.0877779434675845,0.931,0.031050319018657353
MKUJZ74,-1.4,0.0808,0.897,0.919,0.981,0.0808,1.0925886392254138,0.897,0.047207556955907906,0.66,0.745,0.999,0.255,0.965,0.255,0.5934598195660448,0.965,0.015472686656207449,-0.63,0.263,0.925,0.737,0.984,0.263,0.5800442515102421,0.925,0.03385826726096737
URNAS9,-0.35,0.364,0.92,0.636,0.981,0.364,0.438898616350944,0.92,0.036212172654444715,0.66,0.745,0.999,0.255,0.965,0.255,0.5934598195660448,0.965,0.015472686656207449,0.31,0.623,0.975,0.377,0.984,0.377,0.42365864979420714,0.975,0.010995384301463193
WVEQ624,-0.77,0.221,0.897,0.779,0.981,0.221,0.6556077263148893,0.897,0.047207556955907906,0.66,0.746,0.999,0.254,0.965,0.254,0.595166283380062,0.965,0.015472686656207449,-1.15,0.125,0.925,0.875,0.984,0.125,0.9030899869919435,0.925,0.03385826726096737
CBQAC7,0.12,0.549,0.975,0.451,0.981,0.451,0.34582345812203946,0.975,0.010995384301463193,0.66,0.746,0.999,0.254,0.965,0.254,0.595166283380062,0.965,0.015472686656207449,-0.77,0.221,0.925,0.779,0.984,0.221,0.6556077263148893,0.925,0.03385826726096737
QWB0,-0.25,0.402,0.943,0.598,0.981,0.402,0.3957739469155299,0.943,0.02548830726267165,0.66,0.746,0.999,0.254,0.965,0.254,0.595166283380062,0.965,0.015472686656207449,0.04,0.516,0.97,0.484,0.984,0.484,0.31515463835558755,0.97,0.01322826573375516
JREWG31,0.93,0.823,0.999,0.177,0.978,0.177,0.7520267336381934,0.978,0.009661145212398569,0.67,0.748,0.999,0.252,0.965,0.252,0.5985994592184559,0.965,0.015472686656207449,0.56,0.711,0.986,0.289,0.984,0.289,0.5391021572434522,0.984,0.007004901568658489
MOKBA9,-2.0,0.0225,0.897,0.977,0.989,0.0225,1.6478174818886375,0.897,0.047207556955907906,0.67,0.749,0.999,0.251,0.964,0.251,0.6003262785189618,0.964,0.01592296609716924,0.75,0.772,0.998,0.228,0.979,0.228,0.6420651529995461,0.979,0.009217308196862183
SYVL32,-0.62,0.268,0.898,0.732,0.981,0.268,0.5718652059712112,0.898,0.04672366333269562,0.67,0.749,0.999,0.251,0.964,0.251,0.6003262785189618,0.964,0.01592296609716924,0.48,0.684,0.981,0.316,0.984,0.316,0.5003129173815962,0.981,0.008330992620051497
PBJD453,0.77,0.78,0.993,0.22,0.981,0.22,0.6575773191777937,0.981,0.008330992620051497,0.67,0.749,0.999,0.251,0.964,0.251,0.6003262785189618,0.964,0.01592296609716924,1.03,0.849,0.998,0.151,0.953,0.151,0.8210230527068306,0.953,0.02090709936167361
ZDSGV02,1.14,0.873,0.999,0.127,0.917,0.127,0.8961962790440431,0.917,0.03763066432997889,0.67,0.749,0.999,0.251,0.964,0.251,0.6003262785189618,0.964,0.01592296609716924,0.24,0.595,0.974,0.405,0.984,0.405,0.3925449767853314,0.974,0.011441043121384482
YRAUE25,-1.07,0.143,0.897,0.857,0.981,0.143,0.8446639625349383,0.897,0.047207556955907906,0.67,0.749,0.999,0.251,0.964,0.251,0.6003262785189618,0.964,0.01592296609716924,0.67,0.75,0.998,0.25,0.98,0.25,0.6020599913279624,0.98,0.00877392430750515
ILCF08,-0.24,0.405,0.943,0.595,0.981,0.405,0.3925449767853314,0.943,0.02548830726267165,0.67,0.749,0.999,0.251,0.964,0.251,0.6003262785189618,0.964,0.01592296609716924,1.39,0.918,1.0,0.0817,0.931,0.0817,1.0877779434675845,0.931,0.031050319018657353
UUZI27,-0.33,0.372,0.92,0.628,0.981,0.372,0.4294570601181025,0.92,0.036212172654444715,0.67,0.75,0.999,0.25,0.964,0.25,0.6020599913279624,0.964,0.01592296609716924,-0.17,0.434,0.959,0.566,0.984,0.434,0.3625102704874893,0.959,0.018181392829336417
GOQML415,0.14,0.555,0.979,0.445,0.981,0.445,0.3516399890190684,0.979,0.009217308196862183,0.67,0.75,0.999,0.25,0.964,0.25,0.6020599913279624,0.964,0.01592296609716924,0.24,0.595,0.974,0.405,0.984,0.405,0.3925449767853314,0.974,0.011441043121384482
TGX176,1.25,0.895,0.999,0.105,0.915,0.105,0.978810700930062,0.915,0.038578905933551705,0.68,0.752,0.999,0.248,0.964,0.248,0.6055483191737837,0.964,0.01592296609716924,-0.35,0.363,0.945,0.637,0.984,0.363,0.4400933749638875,0.945,0.024568191490737076
VMBEH6,0.33,0.628,0.987,0.372,0.981,0.372,0.4294570601181025,0.981,0.008330992620051497,0.68,0.752,0.999,0.248,0.964,0.248,0.6055483191737837,0.964,0.01592296609716924,-0.13,0.448,0.96,0.552,0.984,0.448,0.348721986001856,0.96,0.017728766960431602
HMOS7,-0.08,0.467,0.966,0.533,0.981,0.467,0.33068311943388784,0.966,0.015022873584506671,0.68,0.752,0.999,0.248,0.964,0.248,0.6055483191737837,0.964,0.01592296609716924,0.41,0.661,0.981,0.339,0.984,0.339,0.4698003017969178,0.981,0.008330992620051497
IIKH367,-1.79,0.037,0.897,0.963,0.986,0.037,1.431798275933005,0.897,0.047207556955907906,0.68,0.753,0.999,0.247,0.964,0.247,0.6073030467403343,0.964,0.01592296609716924,-1.01,0.156,0.925,0.844,0.984,0.156,0.8068754016455384,0.925,0.03385826726096737
FYKPJ82,-1.76,0.0393,0.897,0.961,0.985,0.0393,1.4056074496245732,0.897,0.047207556955907906,0.68,0.753,0.999,0.247,0.964,0.247,0.6073030467403343,0.964,0.01592296609716924,-1.11,0.134,0.925,0.866,0.984,0.134,0.8728952016351923,0.925,0.03385826726096737
WPMKC7,-0.59,0.277,0.898,0.723,0.981,0.277,0.5575202309355514,0.898,0.04672366333269562,0.69,0.754,0.999,0.246,0.964,0.246,0.6090648928966209,0.964,0.01592296609716924,-0.73,0.231,0.925,0.769,0.984,0.231,0.6363880201078557,0.925,0.03385826726096737
HRIKY785,-0.12,0.451,0.96,0.549,0.981,0.451,0.34582345812203946,0.96,0.017728766960431602,0.69,0.754,0.999,0.246,0.964,0.246,0.6090648928966209,0.964,0.01592296609716924,0.8,0.787,0.998,0.213,0.979,0.213,0.6716203965612623,0.979,0.009217308196862183
RLKP1,-1.09,0.137,0.897,0.863,0.981,0.137,0.8632794328435932,0.897,0.047207556955907906,0.69,0.754,0.999,0.246,0.964,0.246,0.6090648928966209,0.964,0.01592296609716924,1.35,0.912,1.0,0.0878,0.931,0.0878,1.0565054840938974,0.931,0.031050319018657353
WBF4,1.2,0.884,0.999,0.116,0.915,0.116,0.9355420107730815,0.915,0.038578905933551705,0.69,0.754,0.999,0.246,0.964,0.246,0.6090648928966209,0.964,0.01592296609716924,-0.79,0.216,0.925,0.784,0.984,0.216,0.6655462488490691,0.925,0.03385826726096737
YMP489,1.27,0.899,0.999,0.101,0.915,0.101,0.9956786262173574,0.915,0.038578905933551705,0.69,0.755,0.999,0.245,0.964,0.245,0.6108339156354675,0.964,0.01592296609716924,0.41,0.657,0.981,0.343,0.984,0.343,0.46470587995722945,0.981,0.008330992620051497
LNJM08,0.63,0.737,0.988,0.263,0.981,0.263,0.5800442515102421,0.981,0.008330992620051497,0.69,0.755,0.999,0.245,0.964,0.245,0.6108339156354675,0.964,0.01592296609716924,-1.13,0.128,0.925,0.872,0.984,0.128,0.8927900303521317,0.925,0.03385826726096737
KJZI37,-0.59,0.277,0.898,0.723,0.981,0.277,0.5575202309355514,0.898,0.04672366333269562,0.69,0.755,0.999,0.245,0.964,0.245,0.6108339156354675,0.964,0.01592296609716924,-0.9,0.184,0.925,0.816,0.984,0.184,0.7351821769904635,0.925,0.03385826726096737
UESO0,0.22,0.587,0.987,0.413,0.981,0.413,0.384049948343599,0.981,0.008330992620051497,0.69,0.755,0.999,0.245,0.964,0.245,0.6108339156354675,0.964,0.01592296609716924,-0.75,0.226,0.925,0.774,0.984,0.226,0.645891560852599,0.925,0.03385826726096737
OSLH37,-0.34,0.368,0.92,0.632,0.981,0.368,0.43415218132648237,0.92,0.036212172654444715,0.69,0.755,0.999,0.245,0.964,0.245,0.6108339156354675,0.964,0.01592296609716924,-0.57,0.286,0.925,0.714,0.984,0.286,0.543633966870957,0.925,0.03385826726096737
RRQUT4,0.44,0.669,0.988,0.331,0.981,0.331,0.48017200622428124,0.981,0.008330992620051497,0.69,0.755,0.999,0.245,0.964,0.245,0.6108339156354675,0.964,0.01592296609716924,-0.43,0.335,0.945,0.665,0.984,0.335,0.47495519296315475,0.945,0.024568191490737076
QWSLE1,0.91,0.819,0.999,0.181,0.978,0.181,0.7423214251308154,0.978,0.009661145212398569,0.69,0.756,0.999,0.244,0.964,0.244,0.6126101736612706,0.964,0.01592296609716924,0.63,0.736,0.998,0.264,0.981,0.264,0.5783960731301689,0.981,0.008330992620051497
GZSYQ593,0.29,0.615,0.987,0.385,0.981,0.385,0.4145392704914993,0.981,0.008330992620051497,0.7,0.758,0.999,0.242,0.964,0.242,0.6161846340195687,0.964,0.01592296609716924,1.5,0.933,1.0,0.0672,0.929,0.0672,1.1726307269461749,0.929,0.03198428600635821
IJUEK96,0.42,0.663,0.988,0.337,0.981,0.337,0.47237009912866135,0.981,0.008330992620051497,0.7,0.759,0.999,0.241,0.964,0.241,0.6179829574251317,0.964,0.01592296609716924,0.27,0.605,0.975,0.395,0.984,0.395,0.40340290437353976,0.975,0.010995384301463193
VPA06,0.83,0.797,0.997,0.203,0.981,0.203,0.6925039620867871,0.981,0.008330992620051497,0.71,0.76,0.999,0.24,0.964,0.24,0.619788758288394,0.964,0.01592296609716924,0.09,0.537,0.97,0.463,0.984,0.463,0.33441900898204685,0.97,0.01322826573375516
NFG923,-0.53,0.3,0.9,0.7,0.981,0.3,0.5228787452803376,0.9,0.045757490560675115,0.71,0.761,0.999,0.239,0.964,0.239,0.6216020990518624,0.964,0.01592296609716924,-0.05,0.479,0.962,0.521,0.984,0.479,0.3196644865854368,0.962,0.016824927962187056
BNY6,0.53,0.701,0.988,0.299,0.981,0.299,0.5243288116755703,0.981,0.008330992620051497,0.71,0.761,0.999,0.239,0.964,0.239,0.6216020990518624,0.964,0.01592296609716924,-1.57,0.0579,0.925,0.942,0.986,0.0579,1.2373214362725637,0.925,0.03385826726096737
MXMC0,0.68,0.752,0.988,0.248,0.981,0.248,0.6055483191737837,0.981,0.008330992620051497,0.71,0.761,0.999,0.239,0.964,0.239,0.6216020990518624,0.964,0.01592296609716924,0.99,0.839,0.998,0.161,0.953,0.161,0.7931741239681502,0.953,0.02090709936167361
OTYI98,0.5,0.693,0.988,0.307,0.981,0.307,0.5128616245228135,0.981,0.008330992620051497,0.71,0.762,0.999,0.238,0.964,0.238,0.623423042943488,0.964,0.01592296609716924,-0.91,0.182,0.925,0.818,0.984,0.182,0.7399286120149252,0.925,0.03385826726096737
USX68,-0.55,0.29,0.898,0.71,0.981,0.29,0.5376020021010439,0.898,0.04672366333269562,0.72,0.763,0.999,0.237,0.964,0.237,0.6252516539898961,0.964,0.01592296609716924,0.95,0.828,0.998,0.172,0.953,0.172,0.7644715530924511,0.953,0.02090709936167361
AWJ42,1.08,0.859,0.999,0.141,0.947,0.141,0.8507808873446201,0.947,0.0236500209967266,0.72,0.763,0.999,0.237,0.964,0.237,0.6252516539898961,0.964,0.01592296609716924,-0.19,0.426,0.958,0.574,0.984,0.426,0.37059040089728107,0.958,0.018634490921455603
IVERG039,-1.06,0.145,0.897,0.855,0.981,0.145,0.8386319977650252,0.897,0.047207556955907906,0.72,0.763,0.999,0.237,0.964,0.237,0.6252516539898961,0.964,0.01592296609716924,0.93,0.824,0.998,0.176,0.953,0.176,0.7544873321858502,0.953,0.02090709936167361
FTDSZ3,0.2,0.578,0.986,0.422,0.981,0.422,0.37468754903832613,0.981,0.008330992620051497,0.72,0.764,0.999,0.236,0.964,0.236,0.6270879970298935,0.964,0.01592296609716924,-0.01,0.496,0.967,0.504,0.984,0.496,0.30451832350980257,0.967,0.014573525916998339
RFWY6,1.59,0.944,0.999,0.0556,0.835,0.0556,1.2549252084179425,0.835,0.07831352451639793,0.72,0.765,0.999,0.235,0.964,0.235,0.6289321377282637,0.964,0.01592296609716924,0.85,0.802,0.998,0.198,0.969,0.198,0.7033348097384688,0.969,0.013676222949234686
MDX9,0.93,0.823,0.999,0.177,0.978,0.177,0.7520267336381934,0.978,0.009661145212398569,0.72,0.765,0.999,0.235,0.964,0.235,0.6289321377282637,0.964,0.01592296609716924,-0.14,0.443,0.96,0.557,0.984,0.443,0.3535962737769304,0.96,0.017728766960431602
MUNAJ89,-0.27,0.392,0.931,0.608,0.981,0.392,0.4067139329795427,0.931,0.031050319018657353,0.72,0.765,0.999,0.235,0.964,0.235,0.6289321377282637,0.964,0.01592296609716924,2.02,0.978,1.0,0.0216,0.817,0.0216,1.665546248849069,0.817,0.08777794346758454
UAJP19,0.61,0.728,0.988,0.272,0.981,0.272,0.5654310959658012,0.981,0.008330992620051497,0.72,0.765,0.999,0.235,0.964,0.235,0.6289321377282637,0.964,0.01592296609716924,-1.28,0.1,0.925,0.9,0.984,0.1,1.0,0.925,0.03385826726096737
LZPG2,-1.99,0.0234,0.897,0.977,0.989,0.0234,1.630784142589857,0.897,0.047207556955907906,0.72,0.765,0.999,0.235,0.964,0.235,0.6289321377282637,0.964,0.01592296609716924,-0.25,0.402,0.952,0.598,0.984,0.402,0.3957739469155299,0.952,0.021363051615525673
BIUX1,0.36,0.641,0.987,0.359,0.981,0.359,0.44490555142168087,0.981,0.008330992620051497,0.73,0.766,0.999,0.234,0.964,0.234,0.6307841425898572,0.964,0.01592296609716924,-1.25,0.106,0.925,0.894,0.984,0.106,0.9746941347352298,0.925,0.03385826726096737
JIWV9,1.47,0.929,0.999,0.0712,0.874,0.0712,1.1475200063631437,0.874,0.05848856736559697,0.73,0.766,0.999,0.234,0.964,0.234,0.6307841425898572,0.964,0.01592296609716924,-0.24,0.403,0.954,0.597,0.984,0.403,0.39469495385889053,0.954,0.020451625295904902
IAE9,1.4,0.919,0.999,0.0814,0.915,0.0814,1.0893755951107988,0.915,0.038578905933551705,0.73,0.768,0.999,0.232,0.964,0.232,0.6345120151091003,0.964,0.01592296609716924,0.7,0.759,0.998,0.241,0.979,0.241,0.6179829574251317,0.979,0.009217308196862183
WOSX96,-1.54,0.0615,0.897,0.939,0.981,0.0615,1.2111248842245832,0.897,0.047207556955907906,0.73,0.769,0.999,0.231,0.964,0.231,0.6363880201078557,0.964,0.01592296609716924,-1.55,0.0605,0.925,0.94,0.986,0.0605,1.2182446253475312,0.925,0.03385826726096737
UDC940,0.01,0.505,0.97,0.495,0.981,0.495,0.3053948010664313,0.97,0.01322826573375516,0.74,0.769,0.999,0.231,0.964,0.231,0.6363880201078557,0.964,0.01592296609716924,0.54,0.705,0.986,0.295,0.984,0.295,0.530177984021837,0.984,0.007004901568658489
SABNS973,-0.16,0.436,0.952,0.564,0.981,0.436,0.36051351073141397,0.952,0.021363051615525673,0.74,0.769,0.999,0.231,0.964,0.231,0.6363880201078557,0.964,0.01592296609716924,-0.67,0.253,0.925,0.747,0.984,0.253,0.5968794788241821,0.925,0.03385826726096737
NSG2,2.1,0.982,0.999,0.0177,0.648,0.0177,1.7520267336381934,0.648,0.18842499412940666,0.74,0.769,0.999,0.231,0.964,0.231,0.6363880201078557,0.964,0.01592296609716924,-0.62,0.266,0.925,0.734,0.984,0.266,0.575118363368933,0.925,0.03385826726096737
FRLEX79,0.64,0.737,0.988,0.263,0.981,0.263,0.5800442515102421,0.981,0.008330992620051497,0.74,0.769,0.999,0.231,0.964,0.231,0.6363880201078557,0.964,0.01592296609716924,-0.88,0.188,0.925,0.812,0.984,0.188,0.7258421507363202,0.925,0.03385826726096737
MRZUQ10,-0.91,0.182,0.897,0.818,0.981,0.182,0.7399286120149252,0.897,0.047207556955907906,0.74,0.77,0.999,0.23,0.964,0.23,0.638272163982407,0.964,0.01592296609716924,0.04,0.517,0.97,0.483,0.984,0.483,0.31605286924848786,0.97,0.01322826573375516
CHD0,2.98,0.999,0.999,0.00143,0.599,0.00143,2.844663962534938,0.599,0.22257317761068865,0.74,0.77,0.999,0.23,0.964,0.23,0.638272163982407,0.964,0.01592296609716924,-1.06,0.144,0.925,0.856,0.984,0.144,0.8416375079047503,0.925,0.03385826726096737
SUPDR5,-1.52,0.0646,0.897,0.935,0.981,0.0646,1.1897674820049158,0.897,0.047207556955907906,0.74,0.77,0.999,0.23,0.964,0.23,0.638272163982407,0.964,0.01592296609716924,-0.63,0.266,0.925,0.734,0.984,0.266,0.575118363368933,0.925,0.03385826726096737
CCAOB24,-0.58,0.281,0.898,0.719,0.981,0.281,0.5512936800949201,0.898,0.04672366333269562,0.74,0.77,0.999,0.23,0.964,0.23,0.638272163982407,0.964,0.01592296609716924,1.98,0.976,1.0,0.0239,0.817,0.0239,1.6216020990518623,0.817,0.08777794346758454
QCIX32,-0.82,0.206,0.897,0.794,0.981,0.206,0.6861327796308466,0.897,0.047207556955907906,0.74,0.77,0.999,0.23,0.964,0.23,0.638272163982407,0.964,0.01592296609716924,0.09,0.537,0.97,0.463,0.984,0.463,0.33441900898204685,0.97,0.01322826573375516
SEHY98,1.95,0.974,0.999,0.0256,0.707,0.0256,1.5917600346881504,0.707,0.1505805862031006,0.74,0.771,0.999,0.229,0.964,0.229,0.640164517660112,0.964,0.01592296609716924,1.36,0.914,1.0,0.0863,0.931,0.0863,1.0639892042847905,0.931,0.031050319018657353
BTSH6,0.49,0.688,0.988,0.312,0.981,0.312,0.5058454059815573,0.981,0.008330992620051497,0.74,0.771,0.999,0.229,0.964,0.229,0.640164517660112,0.964,0.01592296609716924,1.12,0.868,1.0,0.132,0.949,0.132,0.8794260687941501,0.949,0.022733787572707352
UJXO53,-0.64,0.261,0.898,0.739,0.981,0.261,0.583359492661719,0.898,0.04672366333269562,0.74,0.772,0.999,0.228,0.964,0.228,0.6420651529995461,0.964,0.01592296609716924,0.38,0.648,0.981,0.352,0.984,0.352,0.453457336521869,0.981,0.008330992620051497
BHWZ03,-0.52,0.302,0.9,0.698,0.981,0.302,0.5199930570428494,0.9,0.045757490560675115,0.75,0.772,0.999,0.228,0.964,0.228,0.6420651529995461,0.964,0.01592296609716924,0.48,0.683,0.981,0.317,0.984,0.317,0.4989407377822485,0.981,0.008330992620051497
DSGE37,-0.96,0.168,0.897,0.832,0.981,0.168,0.7746907182741372,0.897,0.047207556955907906,0.75,0.772,0.999,0.228,0.964,0.228,0.6420651529995461,0.964,0.01592296609716924,-1.22,0.111,0.925,0.889,0.984,0.111,0.9546770212133425,0.925,0.03385826726096737
FNGVC429,1.72,0.957,0.999,0.0427,0.815,0.0427,1.3695721249749762,0.815,0.08884239126002341,0.75,0.774,0.999,0.226,0.964,0.226,0.645891560852599,0.964,0.01592296609716924,1.03,0.849,0.999,0.151,0.953,0.151,0.8210230527068306,0.953,0.02090709936167361
ZAJU8,0.38,0.649,0.987,0.351,0.981,0.351,0.4546928835341759,0.981,0.008330992620051497,0.75,0.774,0.999,0.226,0.964,0.226,0.645891560852599,0.964,0.01592296609716924,-1.84,0.0331,0.925,0.967,0.988,0.0331,1.4801720062242814,0.925,0.03385826726096737
JOR28,0.33,0.629,0.987,0.371,0.981,0.371,0.43062609038495414,0.981,0.008330992620051497,0.75,0.774,0.999,0.226,0.964,0.226,0.645891560852599,0.964,0.01592296609716924,0.22,0.588,0.974,0.412,0.984,0.412,0.3851027839668654,0.974,0.011441043121384482
PKZ40,1.66,0.952,0.999,0.048,0.826,0.048,1.3187587626244128,0.826,0.0830199526796178,0.75,0.775,0.999,0.225,0.964,0.225,0.6478174818886375,0.964,0.01592296609716924,0.15,0.558,0.971,0.442,0.984,0.442,0.3545777306509081,0.971,0.012780770091995148
GLM96,-0.52,0.3,0.9,0.7,0.981,0.3,0.5228787452803376,0.9,0.045757490560675115,0.76,0.775,0.999,0.225,0.964,0.225,0.6478174818886375,0.964,0.01592296609716924,-1.32,0.0927,0.925,0.907,0.984,0.0927,1.032920265855503,0.925,0.03385826726096737
